,Audio,Class
0,"[ 0.0038144   0.00611504  0.00636664 ... -0.00575176 -0.00602485
 -0.00711418]",jackhammer
1,"[ 0.33662438  0.3728487   0.30395585 ... -0.08620764 -0.09088746
 -0.05270396]",siren
2,"[-0.05399006 -0.10468961 -0.08205153 ...  0.00889527  0.10868908
  0.03164992]",children_playing
3,"[-0.01218431 -0.00548601 -0.01504332 ... -0.10760419 -0.12840876
 -0.08902554]",jackhammer
4,"[ 0.02123806  0.02811041  0.02119041 ... -0.01115079 -0.0055653
  0.02082239]",car_horn
5,"[-0.0133623   0.01134732  0.03479664 ...  0.04599877  0.01360725
 -0.01802528]",children_playing
6,"[-0.00079224 -0.00145279 -0.00132369 ...  0.00520601  0.00534148
  0.00415507]",drilling
7,"[-0.0272879  -0.0384113  -0.01388068 ...  0.06744739  0.07537878
  0.07929102]",car_horn
8,"[ 0.09770357  0.02204023 -0.10209858 ... -0.05577829 -0.0109508
  0.03318722]",engine_idling
9,"[-0.01767002 -0.02624875 -0.02810369 ... -0.01348598 -0.00574309
 -0.01127626]",air_conditioner
10,"[ 0.004154   -0.00459695 -0.01256129 ... -0.01867915 -0.01072195
 -0.00019822]",children_playing
11,"[-0.0251147  -0.041805   -0.03956009 ...  0.00962005  0.00961654
  0.01080927]",dog_bark
12,"[ 0.000917    0.00085105 -0.00024179 ...  0.0679284   0.04697465
  0.02975227]",engine_idling
13,"[-0.08474553 -0.12561397 -0.11486294 ... -0.00609868 -0.00642124
 -0.01146826]",drilling
14,"[ 0.11097516  0.23212208  0.26920956 ... -0.00889717  0.00885337
  0.02707034]",engine_idling
15,[0.09526172 0.13696341 0.12561215 ... 0.12515473 0.12399255 0.11614192],siren
16,"[ 0.04218654  0.06199794  0.05374457 ... -0.02887732 -0.01905743
 -0.02209436]",drilling
17,"[-0.18509886  0.11375345  0.00740839 ...  0.05553761 -0.03583484
 -0.04455024]",dog_bark
18,"[ 0.06100804  0.08316064  0.06406192 ... -0.02073064 -0.02145293
 -0.0144281 ]",children_playing
19,"[-0.12411498 -0.17661595 -0.17340568 ...  0.23861927  0.18751338
  0.18970963]",drilling
20,"[-0.00074076  0.00165604  0.00683201 ...  0.0080195   0.02042455
  0.0098046 ]",children_playing
21,[-0.015625  -0.0078125 -0.015625  ...  0.0078125  0.         0.0234375],drilling
22,"[ 8.9246809e-05  4.0810359e-05  1.6526457e-05 ... -6.1206700e-04
  6.4684218e-04  3.6000719e-03]",gun_shot
23,"[-0.189472   -0.28749698 -0.26600733 ... -0.03578709 -0.03199869
 -0.01169409]",car_horn
24,"[-0.00392867 -0.0076566  -0.00830951 ...  0.00214802  0.00299432
  0.0007716 ]",children_playing
25,"[ 0.00976131  0.0346188   0.07031145 ... -0.06342648 -0.03808854
 -0.01167245]",car_horn
26,[0.00021317 0.01064836 0.00671721 ... 0.01642054 0.01387167 0.01166089],dog_bark
27,"[-0.00652901 -0.00894291 -0.0097108  ...  0.03876735  0.03644283
  0.03870561]",car_horn
28,"[-0.07013    -0.11622193 -0.09583319 ...  0.03868747  0.05032146
  0.10446842]",jackhammer
29,"[-0.50257874 -0.7330911  -0.6346987  ...  0.19002675  0.14900687
  0.1422659 ]",drilling
